Name,Type,RAB2000,DEB2000,Source,Const,l_size,size,mag,n_mag,Desc
 3960, OC,11 50.9,-55 42,s,Cen, ,  7.0, 8.3, ,"Cl, pL, pRi, gpmbM, st 13"
 4052, OC,12 01.9,-63 12,s,Cru, ,  8.0, 9.0,p,"Cl, pRi, lC"
 4103, OC,12 06.7,-61 15,s,Cru, ,  7.0, 7.0,p,"Cl, pL, pC, iR, st 10...14"
 4230, OC,12 17.3,-55 08,s,Cen, ,  6.0, 9.0,p,"Cl, F, pL, iF, st 13...15"
I3252, OC,12 23.4,+28 37,x,Com, ,     ,    , ,"F, S, iF; Cl?"
I3262, OC,12 23.8,+27 24,x,Com, ,     ,    , ,"F, S, iF, Cl?"
 4337, OC,12 23.9,-58 08,s,Cru, ,  4.0, 8.9, ,"Cl, pRi, lC, st 12...14"
 4349, OC,12 24.5,-61 54,s,Cru, , 16.0, 7.4, ,"Cl, vB, vL, lC, st 12...14"
 4439, OC,12 28.4,-60 06,s,Cru, ,  4.0, 8.4, ,"Cl, S, st 11...12"
I3421, OC,12 29.6,+26 14,x,Com, ,     ,    , ,"Cl, F, cS, R, bM"
 4463, OC,12 30.0,-64 48,s,Mus, ,  5.0, 7.2, ,"Cl, P, vlC"
I 808, OC,12 41.9,+19 57,x,Com, ,     ,    , ,S nebs Cl
 4609, OC,12 42.3,-62 58,s,Cru, ,  5.0, 6.9, ,"Cl, pL, pC, cE, st 10"
 4755, OC,12 53.6,-60 20,s,Cru, , 10.0, 4.2, ,"Cl, vL, st vB (kappa Cru)"
I3866, OC,12 54.3,+22 22,x,Com, ,     ,    , ,"vF, S, iF, N; Cl?"
I3859, OC,12 54.4,-09 06,x,Vir, ,     ,    , ,vF; eF Cl?
 4815, OC,12 58.0,-64 57,s,Mus, ,  3.0, 8.6, ,"Cl, pL, pRi, iF, st 10...18"
 4852, OC,13 00.1,-59 36,s,Cen, , 11.0, 9.0,p,"Cl, L, pRi, iR, st 10"
I4164, OC,13 05.2,+20 33,x,Com, ,     ,    , ,"vF, S, neb Cl?; *14 n"
 5120, OC,13 26.1,-63 25,o,Cen, ,  3.0,13.0,p,"Cl, eRi, mC, st 12...16"
 5138, OC,13 27.3,-59 01,s,Cen, ,  8.0, 7.6, ,"Cl, Ri, lC, st 11"
 5168, OC,13 31.2,-60 56,s,Cen, ,  4.0, 9.1, ,"Cl, vF, S, vRi, st 15"
 5281, OC,13 46.6,-62 54,s,Cen, ,  5.0, 5.9, ,"Cl, B, S, pC, iR, st 10...12"
 5288, OC,13 48.7,-64 41,s,Cir, ,  4.0,12.0,p,"Cl, S, C, iR, st 14"
 5316, OC,13 53.9,-61 52,s,Cen, , 14.0, 6.0, ,"Cl, pL, pC, st 11"
 5359, OC,13 59.8,-70 24,A,Cir, ,     ,    , ,"Cl, vL, lRi, lC, st 11"
 5381, OC,14 00.6,-59 34,s,Cen, , 14.0,    , ,"Cl, Ri, vC, pL, st 11...12"
 5460, OC,14 07.6,-48 19,s,Cen, , 25.0, 5.6, ,"Cl, vL, vlC, st 8..."
 5593, OC,14 25.8,-54 49,r,Lup, ,     ,    , ,"Cl, vlRi, vlC, st 10"
 5606, OC,14 27.8,-59 38,s,Cen, ,  3.0, 7.7, ,"Cl, S, pC, st L & S"
I4470, OC,14 28.1,+78 54,x,UMi, ,     ,    , ,"Cl, eF, S; neb?"
 5617, OC,14 29.8,-60 43,s,Cen, , 10.0, 6.3, ,"Cl, L, pRi, pCM, st 8..."
 5662, OC,14 35.2,-56 33,s,Cen, , 12.0, 5.5, ,"Cl, L, pRi, lC, st 9..."
 5715, OC,14 43.4,-57 33,s,Cir, ,  6.0,10.0,p,"Cl, L, pRi, CM, st 11...13"
 5749, OC,14 48.9,-54 31,s,Lup, ,  8.0, 9.0,p,"Cl, pL, pRi, lC, st 10...11"
 5764, OC,14 53.6,-52 41,s,Lup, ,  2.0,13.0,p,"Cl, vF, vS, vC"
 5822, OC,15 05.2,-54 21,s,Lup, , 40.0, 7.0,p,"Cl, vL, Ri, lC, st 9...12"
 5823, OC,15 05.7,-55 36,s,Cir, , 10.0, 7.9, ,"Cl, cL, Ri, lCM, st 13...14"
 5925, OC,15 27.7,-54 31,s,Nor, , 15.0, 8.0,p,"Cl, vL, vRi, lC, st 11...14"
 5999, OC,15 52.2,-56 28,s,Nor, ,  5.0, 9.0,p,"Cl, L, pRi, st 12...14"
 6005, OC,15 55.8,-57 26,s,Nor, ,  3.0,10.7, ,"Cl, pS, pRi, mC, st 16"
 6025, OC,16 03.7,-60 30,s,TrA, , 12.0, 5.1, ,"Cl, B, vL, pRi, lC, st 7..."
 6031, OC,16 07.6,-54 04,s,Nor, ,  2.0, 8.5, ,"Cl, S, mC, st 11...14"
 6067, OC,16 13.2,-54 13,s,Nor, , 13.0, 5.6, ,"Cl, vB, vL, vRi, lC, st 10..."
 6087, OC,16 18.9,-57 54,s,Nor, , 12.0, 5.4, ,"Cl, B, L, lC, st 7...10"
 6115, OC,16 24.6,-51 58,o,Nor, ,  3.0,11.0,p,"Cl, eL, eRi"
 6124, OC,16 25.6,-40 40,s,Sco, , 29.0, 5.8, ,"Cl, B, L, pRi, lCM, st 9...11"
 6134, OC,16 27.7,-49 09,s,Nor, ,  7.0, 7.2, ,"Cl, cL, pRi, lCM, st 13...15"
 6152, OC,16 32.7,-52 37,s,Nor, , 30.0, 8.0,p,"Cl, L, lC, st L"
 6169, OC,16 34.1,-44 03,s,Nor, ,  7.0, 7.0,p,"Cl, mu Nor inv"
 6167, OC,16 34.4,-49 36,s,Nor, ,  8.0, 6.7, ,"Cl, L, lC, iF"
 6178, OC,16 35.7,-45 38,s,Sco, ,  4.0, 7.2, ,"Cl, B, S, st pL"
 6192, OC,16 40.3,-43 22,s,Sco, ,  8.0, 9.0,p,"Cl, pL, pRi, iR, st 11...14"
 6193, OC,16 41.3,-48 46,s,Ara, , 15.0, 5.2, ,"Cl, vL, lRi, lC, rrr, F neb inv"
 6200, OC,16 44.2,-47 29,s,Ara, , 12.0, 7.4, ,Cl (in Milky Way)
 6204, OC,16 46.5,-47 01,s,Ara, ,  5.0, 8.2, ,"Cl, pRi, eiCM, st 11...12"
 6216, OC,16 49.4,-44 44,s,Sco, ,  4.0,10.0,p,"Cl, pS, pRi, pC, st 12...15"
 6208, OC,16 49.5,-53 49,s,Ara, , 16.0, 7.2, ,"Cl, L, Ri, lCM, st 9...12"
 6222, OC,16 50.7,-44 45,r,Sco, ,     ,10.0,p,"Cl, vL, vRi, lbM, st 12...13"
 6242, OC,16 55.6,-39 30,s,Sco, ,  9.0, 6.4, ,"Cl, B, L, Ri, st 8...11"
 6249, OC,16 57.6,-44 47,s,Sco, ,  6.0, 8.2, ,"Cl, pRi, vlC, iF, st L & S"
 6250, OC,16 58.0,-45 48,s,Ara, ,  8.0, 5.9, ,"Cl, L, lRi, lC, st 8...12"
 6253, OC,16 59.1,-52 43,s,Ara, ,  5.0,10.0,p,"Cl, S, triangular, st 13"
 6259, OC,17 00.7,-44 40,s,Sco, , 10.0, 8.0, ,"! Cl, B, vL, vRi, st 11..."
 6268, OC,17 02.4,-39 44,s,Sco, ,  6.0,10.0,p,"Cl, B, pL, cRi, st 10..."
I4648, OC,17 16.0,+45 52,x,Her, ,     ,    , ,"Cl, vS, neb, vF D* inv"
 6318, OC,17 17.8,-39 27,s,Sco, ,  4.0,12.0,p,"Cl, pL, Ri, R, gbM, st 12...14"
 6322, OC,17 18.5,-42 57,s,Sco, , 10.0, 6.0, ,"Cl, vL, pRi, lC (place of * nf)"
I4651, OC,17 24.7,-49 57,s,Ara, , 12.0, 6.9, ,"Cl, pC"
 6374, OC,17 32.3,-32 36,s,Sco, ,  3.0, 9.0, ,"Cl, S, P, B* inv"
 6396, OC,17 38.1,-35 00,s,Sco, ,  3.0, 8.5, ,"Cl, pL, lRi, lC"
 6404, OC,17 39.6,-33 15,s,Sco, ,  5.0,11.0,p,"Cl, F, L, pRi, lC, st 13...15"
 6405, OC,17 40.1,-32 13,s,Sco, , 15.0, 4.2, ,"Cl, L, iR, lC, st 7, 10...; = M6"
 6400, OC,17 40.8,-36 57,s,Sco, ,  8.0, 9.0,p,"Cl, pL, pRi, iR, st 9...10"
 6416, OC,17 44.4,-32 21,s,Sco, , 18.0, 5.7, ,"Cl, vL, Ri, lC"
I4665, OC,17 46.3,+05 43,s,Oph, , 41.0, 4.2, ,"Cl, co"
 6425, OC,17 46.9,-31 32,s,Sco, ,  8.0, 7.2, ,"Cl, pS, lRi, lC, st 10...12"
 6444, OC,17 49.5,-34 49,s,Sco, , 12.0,    , ,"Cl, vL, vRi, st 12...13"
 6451, OC,17 50.7,-30 13,s,Sco, ,  8.0, 8.0,p,"Cl, pL, pRi, bifid, st 12..."
 6469, OC,17 52.9,-22 21,s,Sgr, , 12.0, 8.0,p,"Cl, pRi (in Milky Way)"
 6475, OC,17 53.9,-34 49,s,Sco, , 80.0, 3.3, ,"Cl, vB, pRi, lC, st 7...12; = M7"
 6494, OC,17 56.8,-19 01,s,Sgr, , 27.0, 5.5, ,"Cl, B, vL, pRi, lC, st 10...; = M23"
 6507, OC,17 59.6,-17 24,s,Sgr, ,  7.0,10.0,p,"Cl, pS, lRi, lC"
 6520, OC,18 03.4,-27 54,s,Sgr, ,  6.0, 8.0,p,"Cl, pS, Ri, lC, st 9...13"
 6531, OC,18 04.6,-22 30,s,Sgr, , 13.0, 5.9, ,"Cl, pRi, lC, st 9...12; = M21"
 6530, OC,18 04.8,-24 20,s,Sgr, , 15.0, 4.6, ,"Cl, B, L, pRi, f M8"
I1272, OC,18 04.9,+25 05,x,Her, ,     ,    , ,S Cl
I1273, OC,18 05.0,+25 07,x,Her, ,     ,    , ,"vF, S Cl with neb? *10 f 3'"
 6540, OC,18 06.3,-27 49,s,Sgr, ,  1.0,15.0,p,"pF, S, iE, er or Cl"
 6546, OC,18 07.2,-23 20,s,Sgr, , 13.0, 8.0, ,"Cl, vL, vRi"
I1277, OC,18 10.2,+31 00,x,Her, ,     ,    , ,S Cl
 6568, OC,18 12.8,-21 36,s,Sgr, , 13.0, 9.0,p,"Cl, vL, lC"
 6583, OC,18 15.8,-22 08,s,Sgr, ,  3.0,10.0,p,"Cl, pRi, pC, cE, st 13..."
I1285, OC,18 16.1,+25 06,x,Her, ,     ,    , ,S Cl
 6595, OC,18 17.0,-19 53,s,Sgr, , 11.0, 7.0,p,"F, pL, cE, **  inv; = IC 4700"
 6605, OC,18 17.1,-14 58,s,Ser, ,     , 6.0,p,"Cl, lRi, lC, st 10...12"
 6596, OC,18 17.5,-16 40,s,Sgr, ,     ,    , ,"Cl, lC"
 6603, OC,18 18.4,-18 25,s,Sgr, ,  5.0,11.0,p,"!, Cl, vRi, vmC, R, st 15 (Milky Way)"
I4703, OC,18 18.9,-13 47,x,Ser, ,     ,    , ,"B, eL, Cl M16 inv"
 6613, OC,18 19.9,-17 08,s,Sgr, ,  9.0, 6.9, ,"Cl, P, vlC; = M18"
 6625, OC,18 23.2,-12 03,s,Sct, ,     , 9.0,p,"Cl, lC, lRi, st 11...12"
 6631, OC,18 27.2,-12 02,s,Sct, ,  5.0,12.0,p,"Cl, pL, pRi, st 12...15"
 6633, OC,18 27.7,+06 34,s,Oph, , 27.0, 4.6, ,"Cl, lC, st L"
 6639, OC,18 30.1,-13 12,r,Sct, ,     ,    , ,Cl (in Milky Way)
 6647, OC,18 31.5,-17 21,s,Sgr, ,     , 8.0,p,"Cl, L, Ri, lC, st vS"
I4725, OC,18 31.6,-19 15,s,Sgr, , 32.0, 4.6, ,"Cl, pC; = M25"
I4762, OC,18 32.5,+67 50,x,Dra, ,     ,    , ,"vF, eS, Cl or * with neb"
 6645, OC,18 32.6,-16 54,s,Sgr, , 10.0, 9.0,p,"Cl, pL, vRi, pC, st 11...15"
 6649, OC,18 33.5,-10 24,s,Sct, ,  6.0, 8.9, ,"Cl, P, lC, pS, st 9-10, 12...13"
 6664, OC,18 36.7,-08 13,s,Sct, , 16.0, 7.8, ,"Cl, L, pRi, vlC"
I4756, OC,18 39.0,+05 27,s,Ser, , 52.0, 5.0,p,"Cl, C"
I4768, OC,18 41.8,-05 31,x,Sct, ,     ,    , ,"Cl, D, st sc"
 6683, OC,18 42.2,-06 17,s,Sct, , 11.0,10.0,p,"Cl, vRi, vlC (in Milky Way)"
 6694, OC,18 45.2,-09 24,s,Sct, , 15.0, 8.0, ,"Cl, cL, pRi, pC, st 12...15; = M26"
 6704, OC,18 50.9,-05 12,s,Sct, ,  6.0, 9.2, ,"Cl, B, 60 st 13"
 6705, OC,18 51.1,-06 16,s,Sct, , 14.0, 5.8, ,"!, Cl, vB, L, iR, Ri, *9, st 11...; = M11"
 6709, OC,18 51.5,+10 21,s,Aql, , 13.0, 6.7, ,"Cl, pRi, lC, iF"
 6716, OC,18 54.6,-19 53,s,Sgr, ,  7.0, 6.9, ,"Cl, pRi, st 9...13"
 6735, OC,19 00.8,-00 28,F,Aql, ,     ,    , ,"Cl, vL, P, st 12..."
 6738, OC,19 01.4,+11 36,s,Aql, , 15.0, 8.0,p,"Cl, P, lC"
 6755, OC,19 07.8,+04 14,s,Aql, , 15.0, 7.5, ,"Cl, vL, vRi, pC, st 12...14"
 6756, OC,19 08.7,+04 41,s,Aql, ,  4.0,11.0,p,"Cl, S, Ri, lC, st 11...12"
 6774, OC,19 16.6,-16 16,r,Sgr, ,     ,    , ,"Cl, vL, lC"
I1298, OC,19 18.5,-01 37,x,Aql, ,     ,    , ,"vS Cl, 6778 p 3'"
 6791, OC,19 20.7,+37 51,s,Lyr, , 16.0, 9.5, ,vF
I1299, OC,19 22.6,+20 45,x,Vul, ,     ,    , ,S Cl of vF st
 6793, OC,19 23.2,+22 11,r,Vul, ,     ,    , ,"Cl, P, lC"
 6800, OC,19 27.2,+25 08,s,Vul, ,     ,    , ,"Cl, vL, pRi, vlC, st 10..."
 6802, OC,19 30.6,+20 16,s,Vul, ,  3.0, 8.8, ,"Cl, L, vC, E 0deg , st 14...18"
 6811, OC,19 38.2,+46 34,s,Cyg, , 13.0, 6.8, ,"Cl, L, pRi, lC, st 11..14"
 6815, OC,19 40.9,+26 51,r,Vul, ,     ,    , ,"Cl, vL, pRi, lC, st 10...15"
 6819, OC,19 41.3,+40 11,s,Cyg, ,  5.0, 7.3, ,"Cl, vL, vRi, st 11...15"
 6823, OC,19 43.1,+23 18,s,Vul, , 12.0, 7.1, ,"Cl, cRi, E, st 11...12"
 6827, OC,19 48.9,+21 13,r,Vul, ,     ,    , ,"vF, E, dif, sev st inv"
 6830, OC,19 51.0,+23 04,s,Vul, , 12.0, 7.9, ,"Cl, L, pRi, pC, st 11...12"
 6834, OC,19 52.2,+29 25,s,Cyg, ,  5.0, 7.8, ,"Cl, P, lC, st 11...12"
 6837, OC,19 53.5,+11 41,A,Aql, ,     ,    , ,"Cl, S, P"
 6840, OC,19 55.3,+12 06,A,Aql, ,     ,    , ,"Cl, P, lC"
 6843, OC,19 56.1,+12 09,A,Aql, ,     ,    , ,"Cl, S, P"
 6846, OC,19 56.5,+30 21,r,Cyg, ,     ,14.0,p,"eF, vS, 3 st inv"
 6866, OC,20 03.7,+44 00,s,Cyg, ,  7.0, 7.6, ,"Cl, L, vRi, cC"
 6871, OC,20 05.9,+35 47,s,Cyg, , 20.0, 5.2, ,"Cl, st L and S, **  inv"
 6883, OC,20 11.3,+35 51,s,Cyg, , 15.0, 8.0,p,"Cl, pRi, **  inv"
 6882, OC,20 11.7,+26 33,s,Vul, , 18.0, 8.1, ,"Cl, P, lC"
 6885, OC,20 12.0,+26 29,s,Vul, ,  7.0, 6.0,p,"Cl, vB, vL, Ri, lC, st 6...11"
I4996, OC,20 16.5,+37 38,s,Cyg, ,  6.0, 7.3, ,"Cl, st 8...13"
 6910, OC,20 23.1,+40 47,s,Cyg, ,  8.0, 7.4, ,"Cl, pB, pS, P, pC, st 10...12"
 6913, OC,20 23.9,+38 32,s,Cyg, ,  7.0, 6.6, ,"Cl, P, lC, st L and S; = M29"
 6939, OC,20 31.4,+60 38,s,Cep, ,  8.0, 7.8, ,"Cl, pL, eRi, pCM, st 11...16"
 6940, OC,20 34.6,+28 18,s,Vul, , 31.0, 6.3, ,"Cl, vB, vL, vRi, cC, st pL"
 6996, OC,20 56.4,+45 28,A,Cyg, ,     ,    , ,"Cl, P, lC"
 6997, OC,20 56.5,+44 38,o,Cyg, , 15.0,10.0,p,"Cl, P, lC, st L"
 6991, OC,20 56.6,+47 25,r,Cyg, ,     ,    , ,"Cl, L, P, vlC"
 6994, OC,20 59.0,-12 38,s,Aqr, ,  3.0, 9.0,p,"Cl, eP, vlC, no neb; = M73"
 7005, OC,21 02.0,-12 53,F,Aqr, ,     ,    , ,"Cl, S, P"
I5079, OC,21 05.5,-56 15,x,Ind, ,     ,    , ,"F, S, E; vS Cl or ring? (RA +/- )"
 7031, OC,21 07.3,+50 50,s,Cyg, ,  5.0, 9.1, ,"Cl of triple st, lC"
 7039, OC,21 11.2,+45 39,s,Cyg, , 25.0, 7.6, ,"Cl, vL, pRi, E, st 10..."
I1369, OC,21 12.1,+47 44,s,Cyg, ,  4.0, 6.8, ,S neb Cl of st 13m
 7044, OC,21 12.9,+42 29,r,Cyg, ,     ,11.0,p,"Cl, vF, pL, vRi, vC st 15...18"
 7062, OC,21 23.2,+46 23,s,Cyg, ,  7.0, 8.3, ,"Cl, pS, pRi, pC, st 13..."
 7067, OC,21 24.2,+48 01,s,Cyg, ,  3.0, 9.7, ,"Cl, P, neb?"
 7063, OC,21 24.4,+36 30,s,Cyg, ,  8.0, 7.0, ,"Cl, P, st 10..."
 7082, OC,21 29.4,+47 05,s,Cyg, , 25.0, 7.2, ,"Cl, L, cRi, lC, st 10...13"
I5112, OC,21 29.5,+06 47,x,Peg, ,     ,    , ,"Cl, eF, eS"
I5113, OC,21 29.7,+06 49,x,Peg, ,     ,    , ,"Cl, eF, S; nebs?"
 7086, OC,21 30.5,+51 35,s,Cyg, ,  9.0, 8.4, ,"Cl, cL, vRi, pC, st 11...16"
 7092, OC,21 32.2,+48 26,s,Cyg, , 32.0, 4.6, ,"Cl, vL, vP, vlC, st 7...10; = M39"
 7127, OC,21 43.9,+54 37,s,Cyg, ,  3.0,    , ,"Cl, S, P, lC"
 7128, OC,21 44.0,+53 43,s,Cyg, ,  3.0, 9.7, ,"Cl, S, pRi, has a ruby *9.5"
 7142, OC,21 45.9,+65 48,s,Cep, ,  4.0, 9.3, ,"Cl, cL, cRi, pC, st 11...14"
 7160, OC,21 53.7,+62 36,s,Cep, ,  7.0, 6.1, ,"Cl, P, vlC"
 7209, OC,22 05.2,+46 30,s,Lac, , 25.0, 6.7, ,"Cl, L, cRi, pC, st 9...12"
 7226, OC,22 10.5,+55 25,s,Cep, ,  2.0, 9.6, ,"pB, L, in cluster"
I1434, OC,22 10.5,+52 50,s,Lac, ,  8.0, 9.0,p,"fine Cl, 6 branches, st 12-15m"
 7235, OC,22 12.6,+57 17,s,Cep, ,  4.0, 7.7, ,"Cl, pC, has a ruby *10"
 7243, OC,22 15.3,+49 53,s,Lac, , 21.0, 6.4, ,"Cl, L, P, lC, st vL"
 7245, OC,22 15.3,+54 20,s,Lac, ,  5.0, 9.2, ,"Cl, C, st eS"
I1442, OC,22 16.5,+54 03,s,Lac, ,     , 9.1, ,Cl of neb stars
 7261, OC,22 20.4,+58 05,s,Cep, ,  6.0, 8.4, ,"Cl, L, pRi, lC"
 7281, OC,22 24.7,+57 50,s,Cep, ,     ,    , ,"Cl, L, pRi, lC, st 10...16"
 7296, OC,22 28.2,+52 17,s,Lac, ,  4.0,10.0,p,"Cl, iR, lC, st vS"
 7419, OC,22 54.3,+60 50,s,Cep, ,  2.0,13.0,p,"Cl, pRi, cC"
 7423, OC,22 55.3,+57 08,o,Cep, ,  6.0,15.0,p,"vF, pL, iF, er"
 7429, OC,22 55.9,+59 59,s,Cep, ,     ,    , ,"Cl, P, pC, st 9...11"
I1465, OC,23 02.9,+16 35,x,Peg, ,     ,    , ,vF; vS Cl?
 7510, OC,23 11.5,+60 34,s,Cep, ,  4.0, 7.9, ,"Cl, pRi, pC, fan-sh, st pB"
I1476, OC,23 15.3,+30 33,x,Peg, ,     ,    , ,S Cl?
I1480, OC,23 19.0,+11 19,x,Peg, ,     ,    , ,"vS Cl, nebs?"
 7654, OC,23 24.2,+61 35,s,Cas, , 13.0, 6.9, ,"Cl, L, Ri, mCM, R, st 9...13; = M52"
 7686, OC,23 30.2,+49 08,s,And, , 15.0, 5.6, ,"Cl, P, lC, st 7...11"
 7762, OC,23 49.8,+68 02,s,Cep, , 11.0,10.0,p,"Cl, pRi, pC, st 11...15"
 7772, OC,23 51.8,+16 15,r,Peg, ,     ,    , ,Cl of sc st 10m
 7788, OC,23 56.7,+61 24,s,Cas, ,  9.0, 9.0,p,"Cl, S, pRi, vC, st 10, 13..."
 7789, OC,23 57.0,+56 44,s,Cas, , 16.0, 6.7, ,"Cl, vL, vRi, vmC, st 11...18"
 7790, OC,23 58.4,+61 13,s,Cas, , 17.0, 8.5, ,"Cl, pRi, pC"
